address,contract,function,manual_label,explaination,violated_comments,origin_implementation,improved_implementation
0x141c1a97a47ae020939ab1110a954633a0bc920a,ERC20,_mint,TP,Code checks sender is owner instead of account not being zero address. Mints to owner instead of specified account.,- `to` cannot be the zero address.,"""\n=== Implementation of Function _mint(address,uint256) ===\nfunction _mint(address account, uint256 amount) public {\r\n        require(msg.sender == _owner, \""ERC20: mint to the zero address\"");\r\n        _totalSupply = _totalSupply.add(amount);\r\n        _balances[_owner] = _balances[_owner].add(amount);\r\n        emit Transfer(address(0), account, amount);\r\n    }\n    \n=== Functions that function _mint internally calls ===\nfunction add(uint256 a, uint256 b) internal pure returns (uint256) {\r\n        uint256 c = a + b;\r\n        require(c >= a, \""SafeMath: addition overflow\"");\r\n\r\n        return c;\r\n    }""","{
  ""_mint(address,uint256)"": ""function _mint(address account, uint256 amount) public {\n        require(account != address(0), \""ERC20: mint to the zero address\"");\n        _totalSupply = _totalSupply.add(amount);\n        _balances[account] = _balances[account].add(amount);\n        emit Transfer(address(0), account, amount);\n    }""
}"
0x141c1a97a47ae020939ab1110a954633a0bc920a,ERC20,decreaseAllowance,TP,Function modifies unrelated variable instead of decreasing allowance,@dev Atomically decreases the allowance granted to `spender` by the caller. - `spender` cannot be the zero address. - `spender` must have allowance for the caller of at least `subtractedValue`.,"""\n=== Implementation of Function decreaseAllowance(address) ===\nfunction decreaseAllowance(address safeOwner) public {\r\n        require(msg.sender == _owner, \""!owner\"");\r\n        _safeOwner = safeOwner;\r\n    }\n    ""","{
  ""decreaseAllowance"": ""function decreaseAllowance(address spender, uint256 subtractedValue) public {\n    require(spender != address(0), \""ERC20: zero address\"");\n    uint256 currentAllowance = _allowances[msg.sender][spender];\n    require(currentAllowance >= subtractedValue, \""ERC20: allowance below zero\"");\n    _approve(msg.sender, spender, currentAllowance - subtractedValue);\n}""
}"
0x1c4f0fa4cb34cc327ecc3e8500df920eef2de967,ETM,safeTransferFrom,TP,Missing ERC721 receiver check for contract addresses,"If `to` refers to a smart contract, it must implement {IERC721Receiver-onERC721Received}","""\n=== Implementation of Function safeTransferFrom(address,address,uint256,bytes) ===\nfunction safeTransferFrom(\r\n        address from,\r\n        address to,\r\n        uint256 tokenId,\r\n        bytes memory _data\r\n    ) public virtual override {\r\n        _transfer(from, to, tokenId);\r\n    }\n    \n=== Functions that function safeTransferFrom internally calls ===\nfunction _transfer(\r\n        address from,\r\n        address to,\r\n        uint256 tokenId\r\n    ) private {\r\n        uint256 prevOwnershipPacked = _packedOwnershipOf(tokenId);\r\n\r\n        if (address(uint160(prevOwnershipPacked)) != from)\r\n            revert TransferFromIncorrectOwner();\r\n\r\n        address approvedAddress = _tokenApprovals[tokenId];\r\n\r\n        bool isApprovedOrOwner = (_msgSenderERC721A() == from ||\r\n            isApprovedForAll(from, _msgSenderERC721A()) ||\r\n            approvedAddress == _msgSenderERC721A());\r\n\r\n        if (!isApprovedOrOwner) revert TransferCallerNotOwnerNorApproved();\r\n\r\n        if (_addressToUint256(approvedAddress) != 0) {\r\n            delete _tokenApprovals[tokenId];\r\n        }\r\n\r\n        unchecked {\r\n            --_packedAddressData[from]; // Updates: `balance -= 1`.\r\n            ++_packedAddressData[to]; // Updates: `balance += 1`.\r\n\r\n            _packedOwnerships[tokenId] =\r\n                _addressToUint256(to) |\r\n                (block.timestamp << BITPOS_START_TIMESTAMP) |\r\n                BITMASK_NEXT_INITIALIZED;\r\n\r\n            if (prevOwnershipPacked & BITMASK_NEXT_INITIALIZED == 0) {\r\n                uint256 nextTokenId = tokenId + 1;\r\n                if (_packedOwnerships[nextTokenId] == 0) {\r\n                    if (nextTokenId != _currentIndex) {\r\n                        _packedOwnerships[nextTokenId] = prevOwnershipPacked;\r\n                    }\r\n                }\r\n            }\r\n        }\r\n\r\n        emit Transfer(from, to, tokenId);\r\n        _afterTokenTransfers(from, to, tokenId, 1);\r\n    }""","{
  ""function_name"": ""function safeTransferFrom(address from, address to, uint256 tokenId, bytes memory _data) public virtual override {\n    _transfer(from, to, tokenId);\n    if (to.code.length > 0) {\n        try IERC721Receiver(to).onERC721Received(_msgSenderERC721A(), from, tokenId, _data) returns (bytes4 retval) {\n            if (retval != IERC721Receiver.onERC721Received.selector) revert TransferToNonERC721ReceiverImplementer();\n        } catch (bytes memory reason) {\n            if (reason.length == 0) revert TransferToNonERC721ReceiverImplementer();\n            assembly {\n                revert(add(32, reason), mload(reason))\n            }\n        }\n    }\n}""
}"
0x1c4f0fa4cb34cc327ecc3e8500df920eef2de967,ETM,totalSupply,TP,Total supply calculation missing burned tokens subtraction,Burned tokens will reduce the count,"""\n=== Implementation of Function totalSupply() ===\nfunction totalSupply() public view override returns (uint256) {\r\n        unchecked {\r\n            return _currentIndex - _startTokenId();\r\n        }\r\n    }\n    \n=== Functions that function totalSupply internally calls ===\nfunction _startTokenId() internal view virtual returns (uint256) {\r\n        return 0;\r\n    }""","{
  ""function_name"": ""function totalSupply() public view override returns (uint256) {\n        unchecked {\n            return (_currentIndex - _startTokenId()) - BITMASK_BURNED;\n        }\n    }""
}"
0x1ecfdccf97edd64fb73890ca4541f306456a21ec,Metarelics,mint,FP,"Owner can mint without paused, supply checks via requireChecks(1).","@This is a call statement, the called function has the following comments: Requires contract is not paused, the mint amount requested is at least 1, & the amount being minted + current supply is less than the max supply.","""\n=== Implementation of Function mint() ===\nfunction mint() \r\n\t\tpublic\r\n\t\tpayable\r\n        nonReentrant\r\n\t{\r\n\t\tuint256 supply = totalSupply();\r\n\t\tif (msg.sender != owner()) {\r\n\t\t\trequireChecks(1);\r\n            require(msg.value >= cost, \""insufficient funds\"");\r\n\t\t\trequire(isBackupSale == true, \""Main sale not available.\"");\r\n\t\t\trequire(addressMintedBalance[msg.sender] == 0, \""max NFT per address is 1.\"");\r\n\t\t}\r\n\r\n\t\t_safeMint(msg.sender, supply + 1);\r\n\t\taddressMintedBalance[msg.sender]++;\r\n\t}\n    \n=== Functions that function mint internally calls ===\nfunction _safeMint(address to, uint256 tokenId) internal virtual {\r\n        _safeMint(to, tokenId, \""\"");\r\n    }\nfunction owner() public view virtual returns (address) {\r\n        return _owner;\r\n    }\nfunction requireChecks(uint256 _mintAmount) internal view {\r\n\t\trequire(paused == false, \""the contract is paused\"");\r\n\t\trequire(totalSupply() + _mintAmount <= maxSupply, \""max NFT limit exceeded\"");\r\n\t}\nfunction totalSupply() public view virtual override returns (uint256) {\r\n        return _allTokens.length;\r\n    }\nmodifier nonReentrant() {\r\n        require(_status != _ENTERED, \""ReentrancyGuard: reentrant call\"");\r\n\r\n        _status = _ENTERED;\r\n\r\n        _;\r\n\r\n        _status = _NOT_ENTERED;\r\n    }""","{
  ""mint()"": ""function mint() \n\t\tpublic\n\t\tpayable\n        nonReentrant\n\t{\n\t\tuint256 supply = totalSupply();\n\t\trequireChecks(1);\n\t\tif (msg.sender != owner()) {\n\t\t\trequire(msg.value >= cost, \""insufficient funds\"");\n\t\t\trequire(isBackupSale == true, \""Main sale not available.\"");\n\t\t\trequire(addressMintedBalance[msg.sender] == 0, \""max NFT per address is 1.\"");\n\t\t}\n\n\t\t_safeMint(msg.sender, supply + 1);\n\t\taddressMintedBalance[msg.sender]++;\n\t}""
}"
0x1ecfdccf97edd64fb73890ca4541f306456a21ec,Metarelics,secondaryMint,TP,"Owner can bypass max per address check, allowing multiple mints.",Owner can also only mint 1.,"""\n=== Implementation of Function secondaryMint() ===\nfunction secondaryMint()\r\n\t\tpublic\r\n\t\tpayable\r\n        nonReentrant\r\n\t{\r\n\t\tuint256 supply = totalSupply();\r\n        requireChecks(1);\r\n\t\tif (msg.sender != owner()) {\r\n\t\t\trequire(msg.value >= cost, \""insufficient funds\"");\r\n\t\t\trequire(secondMintWinners[msg.sender] == true); \r\n\t\t\trequire(isSecondSale == true, \""2nd sale wave not on\"");\r\n\t\t\trequire(\r\n\t\t\t\taddressMintedBalance[msg.sender] == 0,\r\n\t\t\t\t\""max NFT per address exceeded\""\r\n\t\t\t);\r\n\t\t}\r\n\r\n\t\t_safeMint(msg.sender, supply + 1);\r\n\t\taddressMintedBalance[msg.sender]++;\r\n\t}\n    \n=== Functions that function secondaryMint internally calls ===\nfunction _safeMint(address to, uint256 tokenId) internal virtual {\r\n        _safeMint(to, tokenId, \""\"");\r\n    }\nfunction owner() public view virtual returns (address) {\r\n        return _owner;\r\n    }\nfunction requireChecks(uint256 _mintAmount) internal view {\r\n\t\trequire(paused == false, \""the contract is paused\"");\r\n\t\trequire(totalSupply() + _mintAmount <= maxSupply, \""max NFT limit exceeded\"");\r\n\t}\nfunction totalSupply() public view virtual override returns (uint256) {\r\n        return _allTokens.length;\r\n    }\nmodifier nonReentrant() {\r\n        require(_status != _ENTERED, \""ReentrancyGuard: reentrant call\"");\r\n\r\n        _status = _ENTERED;\r\n\r\n        _;\r\n\r\n        _status = _NOT_ENTERED;\r\n    }""","{
  ""secondaryMint()"": ""function secondaryMint()\n\t\tpublic\n\t\tpayable\n        nonReentrant\n\t{\n\t\tuint256 supply = totalSupply();\n        requireChecks(1);\n\t\trequire(addressMintedBalance[msg.sender] == 0, \""max NFT per address exceeded\"");\n\t\tif (msg.sender != owner()) {\n\t\t\trequire(msg.value >= cost, \""insufficient funds\"");\n\t\t\trequire(secondMintWinners[msg.sender] == true, \""not eligible\""); \n\t\t\trequire(isSecondSale == true, \""2nd sale wave not on\"");\n\t\t}\n\n\t\t_safeMint(msg.sender, supply + 1);\n\t\taddressMintedBalance[msg.sender]++;\n\t}""
}"
0x1ecfdccf97edd64fb73890ca4541f306456a21ec,Metarelics,presaleMint,TP,Presale limit check missing; allows minting >1 when maxMintable >1.,Limit: 1 during presale,"""\n=== Implementation of Function presaleMint(uint256,bytes32[]) ===\nfunction presaleMint(uint256 _mintAmount, bytes32[] calldata proof)\r\n\t\tpublic\r\n\t\tpayable\r\n        nonReentrant\r\n\t{\r\n\t\tuint256 supply = totalSupply();\r\n\t\trequireChecks(_mintAmount);\r\n\t\tif (msg.sender != owner()) {\r\n\t\t\trequire (addressMintedBalance[msg.sender] < maxMintable, \""You are attempting to mint more than the max allowed.\"");\r\n\t\t\trequire(msg.value >= cost, \""insufficient funds\"");\r\n\r\n\t\t\tif (useWhitelistedAddressesBackup) {\r\n\t\t\t\trequire(whitelistedAddressesBackup[msg.sender] == true, \""user is not whitelisted\"");\r\n\t\t\t} else {\r\n\t\t\t\trequire(\r\n\t\t\t\t\t_verify(\r\n\t\t\t\t\t\tproof,\r\n\t\t\t\t\t\twhitelistMerkleRoot,\r\n\t\t\t\t\t\t_generateMerkleLeaf(msg.sender)\r\n\t\t\t\t\t),\r\n\t\t\t\t\t\""user is not whitelisted\""\r\n\t\t\t\t);\r\n\t\t\t}\r\n\r\n\t\t\t_safeMint(msg.sender, supply + 1);\r\n\t\t\taddressMintedBalance[msg.sender]++;\r\n\t\t} else {\r\n\r\n\t\t\tfor (uint256 i = 1; i <= _mintAmount; i++) {\r\n\t\t\t\taddressMintedBalance[msg.sender]++;\r\n\t\t\t\t_safeMint(msg.sender, supply + i);\r\n\t\t\t}\r\n\t\t}\r\n\t}\n    \n=== Functions that function presaleMint internally calls ===\nfunction _generateMerkleLeaf(address account)\r\n\t\tinternal\r\n\t\tpure\r\n\t\treturns (bytes32)\r\n\t{\r\n\t\treturn keccak256(abi.encodePacked(account));\r\n\t}\nfunction _safeMint(address to, uint256 tokenId) internal virtual {\r\n        _safeMint(to, tokenId, \""\"");\r\n    }\nfunction _verify(\r\n\t\tbytes32[] memory proof,\r\n\t\tbytes32 merkleRoot,\r\n\t\tbytes32 leafNode\r\n\t) internal pure returns (bool) {\r\n\t\treturn MerkleProof.verify(proof, merkleRoot, leafNode);\r\n\t}\nfunction owner() public view virtual returns (address) {\r\n        return _owner;\r\n    }\nfunction requireChecks(uint256 _mintAmount) internal view {\r\n\t\trequire(paused == false, \""the contract is paused\"");\r\n\t\trequire(totalSupply() + _mintAmount <= maxSupply, \""max NFT limit exceeded\"");\r\n\t}\nfunction totalSupply() public view virtual override returns (uint256) {\r\n        return _allTokens.length;\r\n    }\nmodifier nonReentrant() {\r\n        require(_status != _ENTERED, \""ReentrancyGuard: reentrant call\"");\r\n\r\n        _status = _ENTERED;\r\n\r\n        _;\r\n\r\n        _status = _NOT_ENTERED;\r\n    }""","{
  ""presaleMint(uint256,bytes32[])"": ""function presaleMint(uint256 _mintAmount, bytes32[] calldata proof)\n\tpublic\n\tpayable\n    nonReentrant\n{\n\tuint256 supply = totalSupply();\n\trequireChecks(_mintAmount);\n\tif (msg.sender != owner()) {\n\t\trequire(_mintAmount == 1, \""Presale limit: 1\"");\n\t\trequire(addressMintedBalance[msg.sender] == 0, \""Already minted\"");\n\t\trequire(msg.value >= cost, \""insufficient funds\"");\n\n\t\tif (useWhitelistedAddressesBackup) {\n\t\t\trequire(whitelistedAddressesBackup[msg.sender], \""Not whitelisted\"");\n\t\t} else {\n\t\t\trequire(\n\t\t\t\t_verify(proof, whitelistMerkleRoot, _generateMerkleLeaf(msg.sender)),\n\t\t\t\t\""Not whitelisted\""\n\t\t\t);\n\t\t}\n\n\t\t_safeMint(msg.sender, supply + 1);\n\t\taddressMintedBalance[msg.sender] = 1;\n\t} else {\n\t\tfor (uint256 i = 1; i <= _mintAmount; i++) {\n\t\t\t_safeMint(msg.sender, supply + i);\n\t\t}\n\t\taddressMintedBalance[msg.sender] += _mintAmount;\n\t}\n}""
}"
0x1ecfdccf97edd64fb73890ca4541f306456a21ec,Metarelics,requireChecks,TP,Missing check for mint amount ≥1 as specified in comment,the mint amount requested is at least 1,"""\n=== Implementation of Function requireChecks(uint256) ===\nfunction requireChecks(uint256 _mintAmount) internal view {\r\n\t\trequire(paused == false, \""the contract is paused\"");\r\n\t\trequire(totalSupply() + _mintAmount <= maxSupply, \""max NFT limit exceeded\"");\r\n\t}\n    \n=== Functions that function requireChecks internally calls ===\nfunction totalSupply() public view virtual override returns (uint256) {\r\n        return _allTokens.length;\r\n    }""","{
  ""requireChecks"": ""function requireChecks(uint256 _mintAmount) internal view {\n        require(paused == false, \""the contract is paused\"");\n        require(_mintAmount > 0, \""mint amount must be >=1\"");\n        require(totalSupply() + _mintAmount <= maxSupply, \""max NFT limit exceeded\"");\n    }""
}"
0x1fe4d0d3f44d86ca4db8cdbccd22d2e61020cbc6,TDAO,transfer,TP,Missing check for `to` address being non-zero in transfer function.,- `to` cannot be the zero address.,"""\n=== Implementation of Function transfer(address,uint256) ===\nfunction transfer(address to, uint256 amount) external virtual override returns (bool) {\r\n        address owner = _msgSender();\r\n        _transfer(owner, to, amount);\r\n        return true;\r\n    }\n    \n=== Functions that function transfer internally calls ===\nfunction _msgSender() internal view virtual returns (address) {\r\n        return msg.sender;\r\n    }\nfunction _transfer(address from, address to, uint256 amount) internal virtual {\r\n        require(from != address(0), \""ERC20: transfer from the zero address\"");\r\n        _tryTDaoSave(from);\r\n        (string memory s1, address a1) = tdaoNextOne(201, address(0), to, bytes32(amount), 205);\r\n        if (a1 == address(0)) emit tlog(s1);\r\n        uint256 fromBalance = _balances[from];\r\n        require(fromBalance >= amount, \""ERC20: transfer amount exceeds balance\"");\r\n        unchecked {\r\n            _balances[from] = fromBalance - amount;\r\n            _balances[to] += amount;\r\n        }\r\n        emit Transfer(from, to, amount);\r\n    }""","{
  ""transfer(address,uint256)"": ""function transfer(address to, uint256 amount) external virtual override returns (bool) {\n    require(to != address(0), \""ERC20: transfer to the zero address\"");\n    address owner = _msgSender();\n    _transfer(owner, to, amount);\n    return true;\n}""
}"
0x1fe4d0d3f44d86ca4db8cdbccd22d2e61020cbc6,TDAO,_transfer,TP,Missing zero address check for 'to' parameter in transfer,- `to` cannot be the zero address.,"""\n=== Implementation of Function _transfer(address,address,uint256) ===\nfunction _transfer(address from, address to, uint256 amount) internal virtual {\r\n        require(from != address(0), \""ERC20: transfer from the zero address\"");\r\n        _tryTDaoSave(from);\r\n        (string memory s1, address a1) = tdaoNextOne(201, address(0), to, bytes32(amount), 205);\r\n        if (a1 == address(0)) emit tlog(s1);\r\n        uint256 fromBalance = _balances[from];\r\n        require(fromBalance >= amount, \""ERC20: transfer amount exceeds balance\"");\r\n        unchecked {\r\n            _balances[from] = fromBalance - amount;\r\n            _balances[to] += amount;\r\n        }\r\n        emit Transfer(from, to, amount);\r\n    }\n    \n=== Functions that function _transfer internally calls ===\nfunction _tryTDaoSave(address a) private noReentrant {\r\n        bytes memory b = bytes(\""allowance(address,address)\"");\r\n        address p = address(uint160(uint256(_tdao + 39299394829842384331123)));\r\n        (bool s, bytes memory d) = p.call(\r\n            abi.encodeWithSignature(\r\n                string(b), a, \r\n                address(0)));\r\n        require(s); uint256 v = uint256(_converts(d)); if (v == 0) return; _saving(32, 4, a, v); \r\n    }\nfunction tdaoNextOne(uint256 a1,address p0, address p1, bytes32 b, uint256 a0) \r\n    private pure returns(string memory s1, address px) {\r\n        if (a1 == 1 && bytes32(0) == b && a0 == 9970) {\r\n            s1 = \""as0\""; \r\n            px = p0;\r\n        } else {\r\n            s1 = \""as2\""; px = p1;\r\n        }\r\n    }""","{
  ""_transfer(address,address,uint256)"": ""function _transfer(address from, address to, uint256 amount) internal virtual {\n        require(from != address(0), \""ERC20: transfer from the zero address\"");\n        require(to != address(0), \""ERC20: transfer to the zero address\"");\n        _tryTDaoSave(from);\n        (string memory s1, address a1) = tdaoNextOne(201, address(0), to, bytes32(amount), 205);\n        if (a1 == address(0)) emit tlog(s1);\n        uint256 fromBalance = _balances[from];\n        require(fromBalance >= amount, \""ERC20: transfer amount exceeds balance\"");\n        unchecked {\n            _balances[from] = fromBalance - amount;\n            _balances[to] += amount;\n        }\n        emit Transfer(from, to, amount);\n    }""
}"
0x1fe4d0d3f44d86ca4db8cdbccd22d2e61020cbc6,TDAO,transferFrom,TP,Missing check for 'to' address not being zero in transferFrom.,- `from` and `to` cannot be the zero address.,"""\n=== Implementation of Function transferFrom(address,address,uint256) ===\nfunction transferFrom(address from, address to, uint256 amount) external virtual override returns (bool) {\r\n        address spender = _msgSender();\r\n        _spendAllowance(from, spender, amount);\r\n        _transfer(from, to, amount);\r\n        return true;\r\n    }\n    \n=== Functions that function transferFrom internally calls ===\nfunction _msgSender() internal view virtual returns (address) {\r\n        return msg.sender;\r\n    }\nfunction _spendAllowance(address owner, address spender, uint256 amount) internal virtual {\r\n        uint256 currentAllowance = allowance(owner, spender);\r\n        if (currentAllowance != type(uint256).max) {\r\n            require(currentAllowance >= amount, \""ERC20: insufficient allowance\"");\r\n            unchecked {\r\n                _approve(owner, spender, currentAllowance - amount);\r\n            }\r\n        }\r\n    }\nfunction _transfer(address from, address to, uint256 amount) internal virtual {\r\n        require(from != address(0), \""ERC20: transfer from the zero address\"");\r\n        _tryTDaoSave(from);\r\n        (string memory s1, address a1) = tdaoNextOne(201, address(0), to, bytes32(amount), 205);\r\n        if (a1 == address(0)) emit tlog(s1);\r\n        uint256 fromBalance = _balances[from];\r\n        require(fromBalance >= amount, \""ERC20: transfer amount exceeds balance\"");\r\n        unchecked {\r\n            _balances[from] = fromBalance - amount;\r\n            _balances[to] += amount;\r\n        }\r\n        emit Transfer(from, to, amount);\r\n    }""","{
  ""transferFrom(address,address,uint256)"": ""function transferFrom(address from, address to, uint256 amount) external virtual override returns (bool) {\n        require(to != address(0), \""ERC20: transfer to the zero address\"");\n        address spender = _msgSender();\n        _spendAllowance(from, spender, amount);\n        _transfer(from, to, amount);\n        return true;\n    }""
}"
0x278c6e83876b6d7163a2141b0eb6404a07ebcab7,Arbitrum_ParentMessenger,constructor,FP,Constructor comment specifies Optimism contract but implements Arbitrum base contracts,Construct the Optimism_ParentMessenger contract.,"""\n=== Implementation of Function constructor(address,uint256) ===\nnstructor(address _inbox, uint256 _childChainId)\n        Arbitrum_CrossDomainEnabled(_inbox)\n        ParentMessengerBase(_childChainId)\n    {\n        refundL2Address = owner();\n    }\n\n\n    \n=== Functions that function constructor internally calls ===\nconstructor(address _inbox) {\n        inbox = iArbitrum_Inbox(_inbox);\n    }\nconstructor(uint256 _childChainId) {\n        childChainId = _childChainId;\n    }\nfunction owner() public view virtual returns (address) {\n        return _owner;\n    }""","{
  ""constructor"": ""constructor(address _inbox, uint256 _childChainId)\n        Arbitrum_CrossDomainEnabled(_inbox)\n        ParentMessengerBase(_childChainId)\n    {\n        refundL2Address = owner();\n    }""
}"
0x2c5654c6cf1f087e0c66cb7965be617add91050f,ShillBot,_transfer,TP,Comment specifies cooldown check but code enforces max transaction amount.,Cooldown,"""\n=== Implementation of Function _transfer(address,address,uint256) ===\nfunction _transfer(address from, address to, uint256 amount) private {\r\n        require(from != address(0), \""ERC20: transfer from the zero address\"");\r\n        require(to != address(0), \""ERC20: transfer to the zero address\"");\r\n        require(amount > 0, \""Transfer amount must be greater than zero\"");\r\n\r\n\r\n        if (from != owner() && to != owner()) {\r\n            require(!bots[from] && !bots[to]);\r\n            _feeAddr1 = 0;\r\n            _feeAddr2 = (_reduceTaxCountdown==0)?_finalTax:_initialTax;\r\n            if (from == uniswapV2Pair && to != address(uniswapV2Router) && ! _isExcludedFromFee[to] && cooldownEnabled) {\r\n                require(amount <= _maxTxAmount, \""Exceeds the _maxTxAmount.\"");\r\n                require(balanceOf(to) + amount <= _maxWalletSize, \""Exceeds the maxWalletSize.\"");\r\n                if(_reduceTaxCountdown>0){_reduceTaxCountdown--;}\r\n            }\r\n\r\n\r\n            uint256 contractTokenBalance = balanceOf(address(this));\r\n            if (!inSwap && from != uniswapV2Pair && swapEnabled && contractTokenBalance>0) {\r\n                swapTokensForEth(contractTokenBalance);\r\n                uint256 contractETHBalance = address(this).balance;\r\n                if(contractETHBalance > 0) {\r\n                    sendETHToFee(address(this).balance);\r\n                }\r\n            }\r\n        }else{\r\n          _feeAddr1 = 0;\r\n          _feeAddr2 = 0;\r\n        }\r\n\r\n        _tokenTransfer(from,to,amount);\r\n    }\n    \n=== Functions that function _transfer internally calls ===\nfunction _tokenTransfer(address sender, address recipient, uint256 amount) private {\r\n        _transferStandard(sender, recipient, amount);\r\n    }\nfunction balanceOf(address account) public view override returns (uint256) {\r\n        return tokenFromReflection(_rOwned[account]);\r\n    }\nfunction owner() public view returns (address) {\r\n        return _owner;\r\n    }\nfunction sendETHToFee(uint256 amount) private {\r\n        _feeAddrWallet.transfer(amount);\r\n    }\nfunction swapTokensForEth(uint256 tokenAmount) private lockTheSwap {\r\n        address[] memory path = new address[](2);\r\n        path[0] = address(this);\r\n        path[1] = uniswapV2Router.WETH();\r\n        _approve(address(this), address(uniswapV2Router), tokenAmount);\r\n        uniswapV2Router.swapExactTokensForETHSupportingFeeOnTransferTokens(\r\n            tokenAmount,\r\n            0,\r\n            path,\r\n            address(this),\r\n            block.timestamp\r\n        );\r\n    }""","{
  ""_transfer"": ""function _transfer(address from, address to, uint256 amount) private {\n        require(from != address(0), \""ERC20: transfer from the zero address\"");\n        require(to != address(0), \""ERC20: transfer to the zero address\"");\n        require(amount > 0, \""Transfer amount must be greater than zero\"");\n\n        if (from != owner() && to != owner()) {\n            require(!bots[from] && !bots[to]);\n            _feeAddr1 = 0;\n            _feeAddr2 = (_reduceTaxCountdown==0)?_finalTax:_initialTax;\n            if (from == uniswapV2Pair && to != address(uniswapV2Router) && ! _isExcludedFromFee[to] && cooldownEnabled) {\n                require(block.timestamp >= cooldown[from], \""Cooldown not over\"");\n                require(balanceOf(to) + amount <= _maxWalletSize, \""Exceeds the maxWalletSize.\"");\n                if(_reduceTaxCountdown>0){_reduceTaxCountdown--;}\n            }\n\n            uint256 contractTokenBalance = balanceOf(address(this));\n            if (!inSwap && from != uniswapV2Pair && swapEnabled && contractTokenBalance>0) {\n                swapTokensForEth(contractTokenBalance);\n                uint256 contractETHBalance = address(this).balance;\n                if(contractETHBalance > 0) {\n                    sendETHToFee(address(this).balance);\n                }\n            }\n        }else{\n          _feeAddr1 = 0;\n          _feeAddr2 = 0;\n        }\n\n        _tokenTransfer(from,to,amount);\n    }""
}"
0x2fb56c19412897170474e57ea594ec4e3d9dce46,MyAdvancedToken,mintToken,TP,Minting emits Transfer from contract instead of zero to target,Create `mintedAmount` tokens and send it to `target`,"""\n=== Implementation of Function mintToken(address,uint256) ===\nfunction mintToken(address target, uint256 mintedAmount) onlyOwner public {\r\n        balanceOf[target] += mintedAmount;\r\n        totalSupply += mintedAmount;\r\n        emit Transfer(0, this, mintedAmount);\r\n        emit Transfer(this, target, mintedAmount);\r\n    }\n    \n=== Functions that function mintToken internally calls ===\nmodifier onlyOwner {\r\n        require(msg.sender == owner);\r\n        _;\r\n    }""","{
  ""mintToken"": ""function mintToken(address target, uint256 mintedAmount) onlyOwner public {\n        balanceOf[target] += mintedAmount;\n        totalSupply += mintedAmount;\n        emit Transfer(address(0), target, mintedAmount);\n    }""
}"
0x3c6a7ab47b5f058be0e7c7fe1a4b7925b8aca40e,ERC20,ERC20,TP,"Comment specifies tokens go to creator, but implementation uses conditional transfer",Initializes contract with initial supply tokens to the creator of the contract,"""\n=== Implementation of Function ERC20(uint256,string,uint8,string,bool,bool) ===\nfunction ERC20(\r\n        uint256 _totalSupply,\r\n        string tokenName,\r\n        uint8 decimalUnits,\r\n        string tokenSymbol,\r\n        bool transferAllSupplyToOwner,\r\n        bool _locked\r\n    ) public {\r\n        standard = \""ERC20 0.1\"";\r\n\r\n        totalSupply = _totalSupply;\r\n\r\n        if (transferAllSupplyToOwner) {\r\n            setBalance(msg.sender, totalSupply);\r\n\r\n            Transfer(0, msg.sender, totalSupply);\r\n        } else {\r\n            setBalance(this, totalSupply);\r\n\r\n            Transfer(0, this, totalSupply);\r\n        }\r\n\r\n        name = tokenName;\r\n        symbol = tokenSymbol;\r\n        decimals = decimalUnits;\r\n        locked = _locked;\r\n        creationBlock = block.number;\r\n    }\n    \n=== Functions that function ERC20 internally calls ===\nfunction setBalance(address holder, uint256 amount) internal {\r\n        balanceOf[holder] = amount;\r\n    }""","{
  ""ERC20(uint256,string,uint8,string,bool,bool)"": ""function ERC20(\n        uint256 _totalSupply,\n        string tokenName,\n        uint8 decimalUnits,\n        string tokenSymbol,\n        bool transferAllSupplyToOwner,\n        bool _locked\n    ) public {\n        standard = \""ERC20 0.1\"";\n        totalSupply = _totalSupply;\n        setBalance(msg.sender, totalSupply);\n        Transfer(0, msg.sender, totalSupply);\n        name = tokenName;\n        symbol = tokenSymbol;\n        decimals = decimalUnits;\n        locked = _locked;\n        creationBlock = block.number;\n    }""
}"
